origen,nivel,area_m2,q_Q_kPa,Q_teorica_kN,Q_transferida_kN,err_abs_kN,err_rel,PASS
LT2,L1,463.182016,4.0,1852.728064,1852.728063957314,-4.2686e-08,2.303953709600373e-11,PASS
LT2,L2,463.182016,4.0,1852.728064,1852.728063957314,-4.2686e-08,2.303953709600373e-11,PASS
LT2,L3,463.182016,4.0,1852.728064,1852.728063957314,-4.2686e-08,2.303953709600373e-11,PASS
LT2,L4,463.182016,4.0,1852.728064,1852.728063957314,-4.2686e-08,2.303953709600373e-11,PASS
LT1,PISO_1,686.375,4.0,2745.5,2745.5,0.0,0.0,PASS
LT1,PISO_2,686.375,4.0,2745.5,2745.5,0.0,0.0,PASS
LT1,PISO_3,686.375,4.0,2745.5,2745.5,0.0,0.0,PASS
LT1,PISO_4,686.375,4.0,2745.5,2745.5,-0.0,1.6563371002967186e-16,PASS
LT2,TOTAL,1852.728064,4.0,7410.912256,7410.912255829257,-1.70743e-07,2.3039414372286276e-11,PASS
LT1,TOTAL,2745.5,4.0,10982.0,10982.0,0.0,0.0,PASS
COMBINADO,TOTAL,4598.228064,4.0,18392.912256,18392.91225582926,-1.70741e-07,9.282992110047032e-12,PASS
